Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score
Nike Air Force 1 ’07,Men's Shoes,130,130,0,White,Sail/Light Bone/University Red/Jade Horizon,Coming Soon,0,0,2,4,0,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sail,5,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Brown,Alabaster/Black/White/Pale Ivory,Just In,0,0,2,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Alabaster,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Grey,Vast Grey/Wolf Grey/Pale Ivory/Blue Void,Just In,0,0,2,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Vast Grey,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Black,Black/Black,Best Seller,0,0,2,2,0,1,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,White,White/Platinum Tint/Metallic Platinum/Black,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Grey,Vast Grey/Black/Sail/Vast Grey,Best Seller,0,0,2,4,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Vast Grey,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Grey,Wolf Grey/Metallic Silver/Cool Grey/White,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Wolf Grey,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Grey,College Grey/Mink Brown/Light Orewood Brown/Sail,Just In,0,0,2,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,College Grey,4,2,0
Nike Zoom Vomero 5 SE,Men's Shoes,160,160,0,Grey,Platinum Tint/Cashmere/Iron Grey/Photon Dust,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Platinum Tint,5,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Yellow,Barely Volt/Midnight Navy/Pure Platinum/White,Just In,0,0,2,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Barely Volt,4,2,0
