,Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score,Sale Quantity,Label,High_Sales
2402,Sabrina 2 By You,Custom Basketball Shoes,160.0,160,0,Black,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,4,3,8,896,0,1
2403,Sabrina 2 By You,Custom Basketball Shoes,160.0,160,0,Pink,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,4,3,5,137,0,0
2404,Sabrina 2 By You,Custom Basketball Shoes,160.0,160,0,Green,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Multi-Color,4,3,6,660,0,0
2405,Sabrina 2 By You,Custom Basketball Shoes,160.0,160,0,Pink,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,4,3,2,268,0,0
2406,Nike Air Huarache By You,Custom Men's Shoes,150.0,150,0,Green,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Multi-Color,5,3,1,320,0,0
2407,Nike Air Huarache By You,Custom Men's Shoes,150.0,150,0,Pink,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,5,3,3,199,0,0
2408,Nike Air Huarache By You,Custom Men's Shoes,150.0,150,0,White,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,5,3,8,898,0,1
2409,Nike Air Huarache By You,Custom Men's Shoes,150.0,150,0,Purple,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Multi-Color,5,3,7,582,0,0
2410,Nike Air Huarache By You,Custom Men's Shoes,150.0,150,0,Black,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,5,3,8,692,0,0
2411,Nike Air Huarache By You,Custom Men's Shoes,150.0,150,0,Red,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Multi-Color,5,3,8,864,0,1
